Fighter_Id,Full_Name,Nickname,Height,Weight,Reach,Stance,Belt,Gender,Weight_Class_Profile,W,L,D,Avg_Fight_Time,KD,STR,TD,SUB,Ctrl,Sig_Str_Pct,Sub_Att,KO_Rate,SUB_Rate,DEC_Rate,Fighting_Style
429e7d3725852ce9,Royce Gracie,No Nickname,6.1,175.0,,Southpaw,False,Male,Open Weight,15.0,2.0,3.0,321.2,0.0,3.6,0.4,1.2,0.0,0.48,1.2,0.12,0.88,0.0,No Clear Style
42a7e90605df3c8a,Damian Stasiak,Webster,5.5,135.0,70.0,Orthodox,False,Male,Bantamweight,10.0,6.0,0.0,738.5,0.17,34.67,1.33,1.0,188.33,0.39,1.0,0.33,0.0,0.67,Wrestler
42ac4020cba261ad,Caolan Loughran,The Don,5.6,135.0,68.0,Orthodox,False,Male,Bantamweight,10.0,2.0,0.0,900.0,0.0,65.25,1.0,0.0,189.0,0.42,0.0,0.0,0.0,0.0,Striker
42c96a9c4802e2e1,Kultar Gill,Black Mamba,6.0,154.0,,Orthodox,False,,,12.0,8.0,0.0,,,,,,,,,,,,
4304992c2acc187b,Bart Palaszewski,Bartimus,5.9,145.0,70.0,Orthodox,False,Male,Featherweight,36.0,17.0,0.0,557.0,0.5,27.75,0.75,0.25,91.25,0.34,0.25,0.0,0.0,1.0,Hybrid
430c533614d45813,Patricia Alujas,The Angel,5.4,115.0,64.0,Orthodox,False,,,9.0,3.0,0.0,,,,,,,,,,,,
4311e9d23604205c,Steve Ramirez,No Nickname,5.7,125.0,,Orthodox,False,,,5.0,2.0,0.0,,,,,,,,,,,,
431262bbc69215dc,Jair Farias,Chosen,6.1,145.0,76.0,Orthodox,False,,,10.0,1.0,0.0,,,,,,,,,,,,
4327506eb9ee342f,Louis Lee Scott,Lightning,5.8,135.0,70.0,Orthodox,False,,,10.0,0.0,0.0,,,,,,,,,,,,
43292ecf0e72c143,Georgi Karakhanyan,Insane,5.8,145.0,,Orthodox,False,,,26.0,7.0,1.0,,,,,,,,,,,,
4333a8e70a672eb7,Brogan Walker,The Bear,5.4,125.0,67.0,Switch,False,Female,Women's Flyweight,8.0,5.0,0.0,879.0,0.0,35.0,2.33,0.33,273.0,0.4,0.33,1.0,0.0,0.0,Striker
43563a32c3f10e95,Cyrille Diabate,The Snake,6.6,205.0,81.0,Southpaw,False,Male,Light Heavyweight,19.0,10.0,1.0,438.62,0.38,17.5,1.25,1.12,158.75,0.56,1.12,0.0,0.8,0.2,Wrestler
43612456979e5d5e,Steve Byrnes,The Sergeant,6.0,170.0,,Orthodox,False,Male,Middleweight,6.0,1.0,0.0,900.0,0.0,18.0,3.0,4.0,539.0,0.51,4.0,0.0,0.0,0.0,Wrestler
436cdea7bdfdc016,Yokthai Sithoar,No Nickname,5.7,143.0,,Orthodox,False,,,0.0,1.0,0.0,,,,,,,,,,,,
